order_id,dataset_id,nama_dataset,periode,tanggal_pesanan,tanggal_diisi_dari_median,status_pesanan,alasan_pembatalan,kategori_produk,jumlah_kategori_produk,jumlah_barang,berat_total_gram,jumlah_return,diskon_total,metode_pembayaran,opsi_pengiriman,kota_kabupaten,provinsi,ongkir_dibayar_pembeli,potongan_ongkir,total_pembayaran,perkiraan_ongkir,tahun,bulan,tahun_bulan,kategori_umum,outlier_total_pembayaran,total_pembayaran_capped
ORD_0015640,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 11:30:00,False,Selesai,,Mangkok Sambal / Saus,1.0,1.0,200.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KAB. LOMBOK TIMUR,NUSA TENGGARA BARAT (NTB),19500.0,15000.0,35999.0,34500.0,2025,11,2025-11,Belanja,False,35999.0
ORD_0015642,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 11:45:00,False,Selesai,,Celengan,1.0,2.0,1000.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KOTA BANDA ACEH,NANGGROE ACEH DARUSSALAM (NAD),0.0,22000.0,35800.0,22000.0,2025,11,2025-11,Belanja,False,35800.0
ORD_0015643,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 12:09:00,False,Selesai,,Botol / Gelas / Mug,1.0,2.0,300.0,0.0,0.0,Saldo ShopeePay,Hemat Kargo-SPX Hemat,KAB. MESUJI,LAMPUNG,0.0,11000.0,13312.0,11000.0,2025,11,2025-11,Belanja,False,13312.0
ORD_0015644,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 12:27:00,False,Selesai,,Nampan / Tray,1.0,2.0,700.0,0.0,0.0,Saldo ShopeePay,Hemat Kargo-SPX Hemat,KOTA TANGERANG,BANTEN,0.0,3500.0,13900.0,3500.0,2025,11,2025-11,Belanja,False,13900.0
ORD_0015646,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 13:03:00,False,Selesai,,Bangku / Kursi Kecil,1.0,1.0,1000.0,0.0,0.0,Online Payment,Hemat Kargo-SPX Hemat,KOTA JAKARTA SELATAN,DKI JAKARTA,0.0,3500.0,20929.0,3500.0,2025,11,2025-11,Belanja,False,20929.0
ORD_0015645,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 13:04:00,False,Selesai,,Botol / Gelas / Mug,1.0,3.0,900.0,0.0,0.0,SeaBank Bayar Instan,Reguler (Cashless)-JNE Reguler,KOTA TANGERANG,BANTEN,0.0,6500.0,28675.0,6500.0,2025,11,2025-11,Belanja,False,28675.0
ORD_0015647,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 13:25:00,False,Selesai,,Aksesoris Pintu,1.0,1.0,100.0,0.0,0.0,Saldo ShopeePay,Hemat Kargo-SPX Hemat,KOTA SURABAYA,JAWA TIMUR,0.0,5000.0,6835.0,5000.0,2025,11,2025-11,Belanja,False,6835.0
ORD_0015648,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 13:40:00,False,Selesai,,Other,1.0,1.0,2000.0,0.0,0.0,SeaBank Bayar Instan,Hemat Kargo-SPX Hemat,KAB. SERANG,BANTEN,0.0,6500.0,16233.0,6500.0,2025,11,2025-11,Belanja,False,16233.0
ORD_0015649,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 13:59:00,False,Selesai,,Peralatan Makan,1.0,1.0,200.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KAB. SITUBONDO,JAWA TIMUR,0.0,5000.0,12000.0,5000.0,2025,11,2025-11,Belanja,False,12000.0
ORD_0015650,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 14:25:00,False,Selesai,,Mangkok Sambal / Saus,1.0,1.0,200.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KAB. JEMBRANA,BALI,0.0,14000.0,17499.0,14000.0,2025,11,2025-11,Belanja,False,17499.0
ORD_0015651,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 14:58:00,False,Selesai,,Aksesoris Pintu,1.0,2.0,200.0,0.0,0.0,Saldo ShopeePay,Hemat Kargo-SPX Hemat,KOTA JAKARTA TIMUR,DKI JAKARTA,0.0,3500.0,21900.0,3500.0,2025,11,2025-11,Belanja,False,21900.0
ORD_0015652,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 15:25:00,False,Selesai,,Aksesoris Pintu,1.0,1.0,100.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KOTA BEKASI,JAWA BARAT,0.0,3500.0,12500.0,3500.0,2025,11,2025-11,Belanja,False,12500.0
ORD_0015653,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 15:27:00,False,Selesai,,Nampan / Tray,1.0,5.0,6000.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KOTA TANGERANG,BANTEN,13500.0,10000.0,65500.0,23500.0,2025,11,2025-11,Belanja,False,65500.0
ORD_0015654,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 15:51:00,False,Selesai,,Nampan / Tray,1.0,1.0,5400.0,0.0,0.0,COD (Bayar di Tempat),SPX Hemat,KAB. MUSI BANYUASIN,SUMATERA SELATAN,14300.0,45100.0,115500.0,69300.0,2025,11,2025-11,Belanja,True,88620.0
ORD_0015657,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 17:16:00,False,Selesai,,Seal / Baut / Roof,1.0,1.0,1000.0,0.0,0.0,Online Payment,Reguler (Cashless)-SPX Standard,KAB. KEBUMEN,JAWA TENGAH,0.0,8000.0,174000.0,8000.0,2025,11,2025-11,Belanja,True,88620.0
ORD_0015658,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 17:31:00,False,Selesai,,Celengan,1.0,1.0,500.0,0.0,0.0,SPayLater,Hemat Kargo-SPX Hemat,KAB. BEKASI,JAWA BARAT,0.0,3500.0,18900.0,3500.0,2025,11,2025-11,Belanja,False,18900.0
ORD_0015659,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 18:19:00,False,Selesai,,Mangkok Sambal / Saus,1.0,2.0,400.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KAB. BOGOR,JAWA BARAT,0.0,3500.0,32998.0,3500.0,2025,11,2025-11,Belanja,False,32998.0
ORD_0015660,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 18:19:00,False,Selesai,,Celengan,1.0,1.0,500.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KAB. SEMARANG,JAWA TENGAH,0.0,5000.0,20000.0,5000.0,2025,11,2025-11,Belanja,False,20000.0
ORD_0015661,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 18:31:00,False,Selesai,,Celengan,1.0,1.0,500.0,0.0,0.0,Saldo ShopeePay,Reguler (Cashless)-SPX Standard,KOTA SURABAYA,JAWA TIMUR,0.0,8000.0,14604.0,8000.0,2025,11,2025-11,Belanja,False,14604.0
ORD_0015662,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 18:52:00,False,Selesai,,"Aksesoris Pintu, Peralatan Kamar Mandi",2.0,2.0,600.0,0.0,0.0,Online Payment,Hemat Kargo-SPX Hemat,KAB. MAGELANG,JAWA TENGAH,0.0,5000.0,19146.0,5000.0,2025,11,2025-11,Belanja,False,19146.0
ORD_0015663,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 19:40:00,False,Selesai,,Aksesoris Pintu,1.0,1.0,100.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KAB. SAROLANGUN,JAMBI,0.0,15000.0,12000.0,15000.0,2025,11,2025-11,Belanja,False,12000.0
